Rank,Marks
1,307
101,222
201,198
301,185
401,173
501,166
601,159
701,153
801,149
901,145
1001,141
1101,138
1201,136
1301,134
1401,131
1501,129
1601,127
1701,125
1801,124
1901,122
2001,121
2101,119
2201,118
2301,116
2401,115
2501,114
2601,113
2701,111
2801,110
2901,109
3001,108
3101,107
3201,106
3301,105
3401,104
3501,103
3601,102
3701,102
3801,101
3901,100
4001,99
4101,98
4201,98
4301,97
4401,96
4501,95
4601,95
4701,94
4801,94
4901,93
5001,93
5101,92
5201,91
5301,91
5401,90
5501,90
5601,89
5701,88
5801,88
5901,87
6001,87
6101,86
6201,86
6301,85
6401,85
6501,84
6601,84
6701,83
6801,83
6901,82
7001,82
7101,81
7201,81
7301,80
7401,80
7501,80
7601,79
7701,79
7801,78
7901,78
8001,77
8101,77
8201,77
8301,76
8401,76
8501,76
8601,75
8701,75
8801,74
8901,74
9001,74
9101,73
9201,73
9301,73
9401,72
9501,72
9601,72
9701,71
9801,71
9901,71
10001,70
10101,70
10201,70
10301,69
10401,69
10501,69
10601,68
10701,68
10801,68
10901,67
11001,67
11101,67
11201,67
11301,66
11401,66
11501,66
11601,65
11701,65
11801,65
11901,65
12001,64
12101,64
12301,63
12401,63
12501,63
12601,63
