Rank,Marks
1,328
101,274
201,258
301,245
401,237
501,230
601,224
701,218
801,213
901,208
1001,204
1101,201
1201,197
1301,195
1401,192
1501,189
1601,187
1701,184
1801,182
1901,180
2001,177
2101,175
2201,173
2301,172
2401,170
2501,168
2601,167
2701,166
2801,164
2901,163
3001,161
3101,160
3201,159
3301,157
3401,156
3501,155
3601,154
3701,153
3801,152
3901,151
4001,150
4101,149
4201,148
4301,147
4401,146
4501,145
4601,144
4701,144
4801,143
4901,142
5001,141
5101,140
5201,140
5301,139
5401,138
5501,138
5601,137
5701,136
5801,136
5901,135
6001,134
6101,134
6201,133
6301,133
6401,132
6501,132
6601,131
6701,131
6801,130
6901,129
7001,129
7101,128
7201,128
7301,127
7401,127
7501,126
7601,126
7701,125
7801,125
7901,124
8001,124
8101,123
8201,123
8301,123
8401,122
8501,122
8601,121
8701,121
8801,120
8901,120
9001,120
9101,119
9201,119
9301,118
9401,118
9501,118
9601,117
9701,117
9801,116
9901,116
10001,116
10101,115
10201,115
10301,115
10401,114
10501,114
10601,113
10701,113
10801,113
10901,112
11001,112
11101,112
11201,111
11301,111
11401,111
11501,110
11601,110
11701,110
11801,109
11901,109
12001,109
12101,108
12201,108
12301,108
12401,107
12501,107
12601,107
12701,107
12801,106
12901,106
13001,106
13101,105
13201,105
13301,105
13401,105
13501,104
13601,104
13701,104
13801,103
13901,103
14001,103
14101,103
14201,102
14301,102
14401,102
14501,102
14601,101
14701,101
14801,101
14901,101
15001,100
15101,100
15201,100
15301,100
15401,99
15501,99
15601,99
15701,98
15801,98
15901,98
16001,98
16101,98
16201,97
16301,97
16401,97
16501,97
16601,96
16701,96
16801,96
16901,96
17001,96
17101,95
17201,95
17301,95
17301,95
17401,95
17501,95
17601,94
17701,94
17801,94
17901,94
18001,94
18101,93
18201,93
18301,93
18401,93
18501,93
18601,92
18701,92
18801,92
18901,92
19001,92
19101,91
19201,91
19301,91
19501,91
19601,90
19701,90
19801,90
19901,90
20001,90
20101,90
20201,89
20301,89
20401,89
20501,89
20601,89
20701,88
20801,88
20901,88
21001,88
21101,88
21201,88
21301,87
21401,87
21501,87
21601,87
21701,87
21801,87
21901,86
22001,86
22101,86
22201,86
22301,86
22401,86
22501,85
22601,85
22701,85
22801,85
22901,85
23001,85
23101,84
23201,84
23301,84
23401,84
23501,84
23601,84
23701,83
23801,83
23901,83
24001,83
24101,83
24201,83
24301,82
24401,82
24501,82
24601,82
24701,82
24801,82
24901,82
25001,81
25101,81
25201,81
25301,81
25401,81
25501,81
25601,81
25701,80
25801,80
25901,80
26001,80
26101,80
26201,80
26301,79
26401,79
26501,79
26601,79
26701,79
26801,79
26901,79
27001,78
27101,78
27201,78
27301,78
27401,78
27501,78
27601,78
27701,77
27801,77
27901,77
28001,77
28101,77
28201,77
28301,77
28402,76
28501,76
28601,76
28701,76
28801,76
28901,76
29001,76
29101,76
29201,75
29301,75
29401,75
29501,75
29601,75
29701,75
29801,75
29901,74
30001,74
30101,74
30201,74
30301,74
30401,74
30501,74
30601,73
30701,73
30801,73
30901,73
31001,73
31101,73
31201,73
31301,73
31401,72
31501,72
31601,72
31701,72
31801,72
31901,72
32001,72
32101,72
32201,71
32301,71
32401,71
32501,71
32601,71
32701,71
32801,71
32901,71
33101,70
33201,70
33301,70
33401,70
33501,70
33601,70
33701,70
33801,70
